team,experience,salary,points3,points2,points1,points,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls,efficiency,my_efficiency
ATL,100,93.41,660,2337,1453,8107,832,2676,1846,645,381,1201,1432,147.21230482963233,194.5692358379154
BOS,63,91.92,985,2183,1536,8857,744,2698,2069,617,340,1037,1686,148.23947107577217,188.01448008224287
BRK,70,76.21000000000001,777,2040,1444,7855,689,2697,1664,568,382,1212,1620,167.03330895362924,216.33212159152745
CHI,59,92.48,565,2162,1330,7349,865,2419,1746,605,339,956,1275,139.09777691038656,185.3590931992796
CHO,63,88.5,808,2089,1497,8099,621,2615,1806,543,316,820,1177,141.50192409742044,182.8010169310953
CLE,145,127.25,1030,2148,1384,8770,735,2673,1779,483,304,1020,1356,182.08056471607966,232.39746231059186
DAL,65,92.83,712,1754,1007,6651,521,2063,1183,507,257,674,1229,144.6322389053162,194.4231789327678
DEN,83,79.04,868,2351,1477,8783,872,2660,2015,543,286,1102,1475,172.24448231535152,215.58973982642846
DET,55,103.07000000000001,631,2638,1140,8309,908,2838,1732,574,310,932,1467,136.40891892077593,186.3130700536284
GSW,113,100.22,982,2545,1455,9491,770,2869,2486,782,554,1179,1581,175.33843821543599,212.24655587589476
HOU,70,87.39,1140,2011,1623,9065,857,2608,1969,617,331,1113,1473,165.28476430278198,206.4565709835849
IND,95,92.6,709,2512,1467,8618,742,2702,1844,669,409,1087,1597,148.7141144623337,191.16956064930065
LAC,124,114.77000000000001,841,2401,1586,8911,738,2790,1848,612,347,1022,1626,147.07371764797134,185.4445729811391
LAL,65,85.11,582,2069,1021,6905,789,2213,1334,510,267,972,1444,131.45606460232204,177.3063672795244
MEM,90,108.94,757,2176,1489,8112,880,2582,1725,629,335,993,1798,147.55329846133125,193.4666407679941
MIA,63,72.94,799,2349,1217,8312,856,2648,1728,579,464,1019,1647,152.18627977142498,207.05856361175583
MIL,83,104.65,720,2462,1413,8497,723,2589,1984,666,436,1096,1660,161.2450026190737,206.83223715040802
MIN,48,59.88,599,2607,1580,8591,932,2516,1924,641,368,1085,1620,140.7781473114866,178.35541108182318
NOP,78,94.03,519,1956,1128,6597,580,2248,1531,502,380,828,1168,175.16617086182362,223.86474854475833
NYK,59,97.1,636,2445,1262,8060,962,2592,1499,526,451,975,1584,143.91520576228234,188.30336646291104
OKC,55,86.97,611,2380,1511,8104,936,2628,1610,595,395,1133,1561,146.91818732800655,191.24839667845333
ORL,62,104.1,618,2178,1232,7442,707,2452,1760,546,305,987,1445,133.14380481613588,181.81869653104354
PHI,39,56.300000000000004,718,1960,1225,7299,690,2354,1816,613,375,1197,1573,172.95460724397304,227.57994962007407
PHO,73,73.27,569,2554,1615,8430,882,2464,1531,588,385,1171,1887,149.2346500751184,195.15038392060646
POR,43,102.48,847,2148,1386,8223,706,2428,1508,522,342,978,1581,141.7957408545345,181.32476677634875
SAC,77,88.28,562,1838,998,6360,525,1876,1402,506,232,850,1303,155.82466310740534,204.46919606851978
SAS,99,105.39,753,2469,1440,8637,821,2777,1954,655,484,1057,1498,149.70433155200485,188.19430155985543
TOR,57,108.45,626,2359,1570,8166,847,2535,1469,620,379,932,1609,158.75562758955206,198.87448277837294
UTA,71,80.32000000000001,791,2242,1401,8258,771,2774,1651,550,410,1060,1545,145.8055615445778,187.06893736902026
WAS,57,100.78,718,2526,1368,8574,806,2564,1893,655,325,1062,1643,147.80510309899222,186.8714800787014
